"","Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"167","ENSAMXG00000005426",1181.12284267433,-0.452092338837188,0.171637294398214,-2.63399828354491,0.00843859145313099,0.0487792459084329,"SLC4A7"
"168","ENSAMXG00000005445",180.581445401264,-0.7611367762688,0.226458307319963,-3.36104594826539,0.00077647907084922,0.00749881198243849,"abcd2"
"169","ENSAMXG00000005561",103.064611811351,-1.34348181988088,0.371871884773073,-3.6127544858647,0.00030296153016259,0.00353912233180881,"zgc:154142"
"170","ENSAMXG00000005588",159.074042047809,-0.428975454067891,0.161157541455235,-2.66183915561314,0.00777150046789553,0.045774901807917,"lats2"
"171","ENSAMXG00000005640",126.310321966307,-0.855107123124517,0.205488033594577,-4.16134754012793,3.16375181433089e-05,0.000544327555747699,"kifap3b"
"172","ENSAMXG00000005651",660.770163500487,-0.64625740854128,0.144787113252257,-4.46350088778503,8.06312641687517e-06,0.000163553743220171,"iqsec3a"
"174","ENSAMXG00000005738",262.849738796164,-2.40392729916221,0.25127707600118,-9.56683887530959,1.10224299348106e-21,3.18795279580082e-19,"metap2a"
"175","ENSAMXG00000005792",350.167164818356,-0.838350281793327,0.127337026934601,-6.58371176063265,4.58846277143683e-11,3.40581694649792e-09,"lamb1b"
"176","ENSAMXG00000005820",6.62016331274838,-3.31004823989401,1.0986002554617,-3.01296875131612,0.00258705555066366,0.0197436667010751,"klhl23"
"179","ENSAMXG00000005882",229.104115928816,-0.814959229541537,0.162154208819726,-5.02582841033477,5.01263941887661e-07,1.46748736913883e-05,"znf131"
"180","ENSAMXG00000005935",69.1284751888012,-0.792535033276616,0.252316255591982,-3.14103834260372,0.001683499906205,0.0140291658850417,"si:dkey-197c15.6"
"181","ENSAMXG00000005945",69.0671797643089,-0.716880642156171,0.249943145800452,-2.8681748397634,0.00412847318866344,0.0284298594991089,"bloc1s5"
"182","ENSAMXG00000005954",113.995708142103,-1.13462060364198,0.191800762857111,-5.91562091172317,3.3062591892452e-09,1.62171046490024e-07,"stim1b"
"183","ENSAMXG00000005988",68.4906867380945,-1.43790005679083,0.386977499337035,-3.71572005931668,0.000202625825144586,0.00252966971954365,"neurl1b"
"184","ENSAMXG00000006009",104.293371046848,-0.651977982998329,0.211799344157881,-3.07828140634999,0.0020819821040851,0.0166310713314417,"asl"
"185","ENSAMXG00000006025",3570.36334571707,-0.354530498507867,0.0630593319582206,-5.62217339604483,1.88569847609435e-08,7.8688039642992e-07,"supt6h"
"186","ENSAMXG00000006035",719.821947246618,-0.412565099977876,0.0919747206830464,-4.48563580203319,7.26968259008642e-06,0.000149998678288684,"PLCB1"
"187","ENSAMXG00000006049",905.516994207896,-0.303945950584746,0.0986330566876076,-3.08158299856212,0.00205903064674068,0.0164712632804363,"snx4"
"188","ENSAMXG00000006051",105.058699533726,-0.660187732263295,0.231610912521113,-2.85041721513494,0.00436619147362333,0.0296050371746287,"si:dkey-101k6.5"
"189","ENSAMXG00000006055",448.900389037589,-0.302895894776093,0.102477836422916,-2.95572101586991,0.00311939110970863,0.0228490125711797,"taf6l"
"190","ENSAMXG00000006112",14.3011045763032,-1.73980326807696,0.570311706341357,-3.05061819480803,0.00228370774992642,0.0179182401800822,"tmem45b"
"191","ENSAMXG00000006146",305.005129992964,-0.349358077106075,0.119208137044123,-2.93065629384651,0.00338246793952206,0.024478386404436,"yy1b"
"192","ENSAMXG00000006183",404.061831960367,-0.538287735528375,0.120269325155533,-4.47568600582283,7.61663544082112e-06,0.000155775624916749,"ciao1"
"193","ENSAMXG00000006209",4039.45783917392,-0.340153586871658,0.0872197445121149,-3.89996082623712,9.62082533888518e-05,0.00136654822235223,"atp1b2a"
"194","ENSAMXG00000006255",218.022114561199,-0.539817755933951,0.160749869130065,-3.35812252199829,0.000784738213448059,0.00755248624818772,"rnf165b"
"195","ENSAMXG00000006278",412.059037049591,-0.312600797120014,0.116421577836533,-2.68507610813294,0.00725132917798609,0.0435574520813643,"rabggtb"
"196","ENSAMXG00000006286",291.750596682237,-0.485944923115909,0.153475627579228,-3.16626770504687,0.00154408618096494,0.0130488895142,"mrps27"
"197","ENSAMXG00000006314",697.233673535844,-0.279975358925237,0.0878484719630438,-3.18702593988222,0.00143743882510362,0.0123342549274171,"tnika"
"199","ENSAMXG00000006326",79.1464127653342,-0.6309844002497,0.227603894564569,-2.77229175474718,0.0055663122087116,0.0354229466241036,"ephb2b"
"200","ENSAMXG00000006397",8.56629386127827,-4.26620099024936,1.31846552853491,-3.23573191556247,0.00121331277985094,0.0107348744103373,"slc1a8b"
"201","ENSAMXG00000006399",15.4037959096887,-3.79171865962255,0.83789585634485,-4.52528632396292,6.03137927381023e-06,0.000127586869253678,"b3gat1b"
"202","ENSAMXG00000006432",50.1228416633933,-1.68451464185671,0.335145269918507,-5.0262223371564,5.00235891979577e-07,1.4670379524401e-05,"serpinh1a"
"203","ENSAMXG00000006454",2122.91440010766,-0.348562888550905,0.120102959555376,-2.90220066051073,0.00370551103810561,0.0262278260186589,"rtn3"
"204","ENSAMXG00000006601",1089.18326315924,-0.332068640202511,0.0996947998900504,-3.33085216649953,0.000865805697447361,0.00818642286101073,"caprin1a"
